Field,Field_Variability_Rank,X_miles,Y_miles,Structural_Depth_ft,Isopach_ft,GammaRay_API,Resistivity_ohmm,Porosity_frac,Oil_Production_BOPD
Field_01,1,0.0,0.0,10002.2,107.9,45.7,7.89,0.2231,176.3
Field_01,1,0.1,0.0,10279.1,94.3,40.4,7.68,0.2219,164.4
Field_01,1,0.2,0.0,10521.3,81.3,35.4,8.27,0.2195,170.7
Field_01,1,0.3,0.0,10739.9,71.4,30.4,9.7,0.2169,196.7
Field_01,1,0.4,0.0,10941.8,65.9,25.2,11.72,0.2152,241.6
Field_01,1,0.51,0.0,11111.9,64.9,20.3,13.6,0.2154,297.2
Field_01,1,0.61,0.0,11209.6,67.8,16.5,14.37,0.2174,344.4
Field_01,1,0.71,0.0,11190.7,73.1,14.1,13.66,0.2205,362.9
Field_01,1,0.81,0.0,11039.5,79.1,12.9,12.02,0.2233,349.1
Field_01,1,0.91,0.0,10786.5,83.9,12.8,10.36,0.2249,317.1
Field_01,1,1.01,0.0,10494.3,86.1,13.9,9.23,0.2247,283.7
Field_01,1,1.11,0.0,10222.8,85.6,16.3,8.78,0.2231,258.6
Field_01,1,1.21,0.0,10000.1,83.5,20.3,8.98,0.2212,245.4
Field_01,1,1.31,0.0,9821.4,81.7,25.2,9.74,0.2207,245.7
Field_01,1,1.41,0.0,9669.6,82.0,30.1,11.0,0.2239,261.7
Field_01,1,1.52,0.0,9538.7,85.4,34.0,12.71,0.2318,295.7
Field_01,1,1.62,0.0,9438.6,91.5,36.4,14.91,0.2432,347.9
Field_01,1,1.72,0.0,9378.2,99.3,37.5,17.59,0.2548,414.6
Field_01,1,1.82,0.0,9341.3,107.4,38.3,20.59,0.2626,486.7
Field_01,1,1.92,0.0,9279.1,114.2,39.7,23.43,0.2642,549.3
Field_01,1,2.02,0.0,9129.9,118.2,42.5,25.4,0.2603,583.8
Field_01,1,2.12,0.0,8855.0,118.4,47.3,25.98,0.2541,578.5
Field_01,1,2.22,0.0,8466.4,114.3,54.2,25.08,0.2496,535.5
Field_01,1,2.32,0.0,8025.7,105.9,62.5,22.97,0.2492,465.2
Field_01,1,2.42,0.0,7616.9,94.1,71.0,20.08,0.2526,377.9
Field_01,1,2.53,0.0,7310.7,80.6,77.4,16.92,0.2575,286.3
Field_01,1,2.63,0.0,7140.3,67.9,79.6,14.04,0.2603,208.4
Field_01,1,2.73,0.0,7098.7,58.5,76.3,11.95,0.2578,157.1
Field_01,1,2.83,0.0,7158.4,53.5,67.9,10.95,0.2485,133.7
Field_01,1,2.93,0.0,7297.1,52.0,56.4,11.2,0.2323,131.5
Field_01,1,3.03,0.0,7507.9,52.0,44.8,12.78,0.2107,140.1
Field_01,1,3.13,0.0,7783.5,51.3,36.4,15.65,0.1862,146.1
Field_01,1,3.23,0.0,8087.4,48.9,33.3,19.46,0.1619,140.3
Field_01,1,3.33,0.0,8339.9,45.9,36.1,23.51,0.141,128.1
Field_01,1,3.43,0.0,8444.3,44.3,43.5,27.21,0.1264,126.4
Field_01,1,3.54,0.0,8342.3,45.5,52.5,30.39,0.1195,153.1
Field_01,1,3.64,0.0,8061.5,49.6,59.5,32.85,0.12,225.9
Field_01,1,3.74,0.0,7713.5,55.0,61.7,33.82,0.1254,351.0
Field_01,1,3.84,0.0,7435.5,60.2,57.9,32.28,0.1321,488.2
Field_01,1,3.94,0.0,7309.2,63.7,49.2,28.25,0.137,557.6
Field_01,1,4.04,0.0,7312.6,65.6,38.2,23.27,0.138,530.9
Field_01,1,4.14,0.0,7339.6,66.5,27.7,19.15,0.1347,461.0
Field_01,1,4.24,0.0,7277.7,67.3,20.0,16.77,0.1283,406.7
Field_01,1,4.34,0.0,7090.8,68.6,15.7,16.21,0.1211,391.7
Field_01,1,4.44,0.0,6851.7,70.1,14.6,17.19,0.1158,416.5
Field_01,1,4.55,0.0,6705.3,70.7,15.6,19.23,0.1148,469.3
Field_01,1,4.65,0.0,6786.4,69.2,17.9,21.57,0.1196,523.1
Field_01,1,4.75,0.0,7146.7,64.5,21.0,23.35,0.1301,539.7
Field_01,1,4.85,0.0,7730.2,56.1,24.8,24.0,0.1446,492.0
Field_01,1,4.95,0.0,8406.2,44.3,29.5,23.59,0.1606,385.1
Field_01,1,5.05,0.0,9032.4,30.3,35.0,22.64,0.175,250.7
Field_01,1,5.15,0.0,9509.2,16.3,41.4,21.78,0.1855,125.3
Field_01,1,5.25,0.0,9801.1,5.0,48.2,21.53,0.1908,35.3
Field_01,1,5.35,0.0,9924.3,5.0,54.9,22.24,0.1914,32.2
Field_01,1,5.45,0.0,9920.3,5.0,60.3,24.07,0.1886,28.7
Field_01,1,5.56,0.0,9832.3,5.0,63.8,26.94,0.184,24.2
Field_01,1,5.66,0.0,9694.3,5.0,65.0,30.51,0.178,18.6
Field_01,1,5.76,0.0,9529.5,16.2,64.0,34.23,0.1713,41.7
Field_01,1,5.86,0.0,9355.9,29.9,61.5,37.66,0.165,53.9
Field_01,1,5.96,0.0,9197.0,44.2,58.3,40.63,0.1617,74.2
Field_01,1,6.06,0.0,9090.0,57.4,54.7,43.11,0.1649,126.7
Field_01,1,6.16,0.0,9079.6,68.6,50.6,44.91,0.1763,219.1
Field_01,1,6.26,0.0,9190.6,77.9,45.8,45.66,0.1951,334.8
Field_01,1,6.36,0.0,9394.7,86.1,40.8,45.11,0.2172,443.8
Field_01,1,6.46,0.0,9601.5,93.6,36.7,43.57,0.2373,530.5
Field_01,1,6.57,0.0,9692.2,100.0,34.8,41.83,0.2507,612.4
Field_01,1,6.67,0.0,9585.4,104.1,36.2,40.63,0.2547,723.0
Field_01,1,6.77,0.0,9294.3,105.0,40.8,40.19,0.2486,871.7
Field_01,1,6.87,0.0,8936.1,102.6,47.4,39.98,0.2336,1006.5
Field_01,1,6.97,0.0,8680.7,97.7,54.1,39.02,0.2121,1026.4
Field_01,1,7.07,0.0,8666.1,92.0,59.1,36.65,0.1878,883.8
Field_01,1,7.17,0.0,8930.9,86.9,61.1,33.18,0.1652,657.4
Field_01,1,7.27,0.0,9400.1,83.6,60.0,29.63,0.1492,463.7
Field_01,1,7.37,0.0,9925.9,83.1,56.3,26.9,0.1429,351.4
Field_01,1,7.47,0.0,10352.5,86.1,51.2,25.24,0.1465,314.3
Field_01,1,7.58,0.0,10568.8,92.5,45.5,24.33,0.156,337.2
Field_01,1,7.68,0.0,10530.3,101.9,39.6,23.62,0.1652,409.2
Field_01,1,7.78,0.0,10254.0,112.7,33.9,22.67,0.1683,513.3
Field_01,1,7.88,0.0,9800.2,122.8,28.9,21.5,0.163,620.3
Field_01,1,7.98,0.0,9250.8,130.0,25.6,20.38,0.1508,701.3
Field_01,1,8.08,0.0,8689.7,132.9,25.0,19.54,0.1364,743.7
Field_01,1,8.18,0.0,8188.0,130.5,27.4,18.94,0.1244,750.4
Field_01,1,8.28,0.0,7795.1,122.9,32.0,18.39,0.1175,727.4
Field_01,1,8.38,0.0,7536.4,110.8,37.1,17.84,0.1154,677.6
Field_01,1,8.48,0.0,7418.2,95.9,40.9,17.5,0.116,607.2
Field_01,1,8.59,0.0,7434.9,80.5,42.2,17.8,0.1166,532.0
Field_01,1,8.69,0.0,7576.3,67.3,41.5,19.16,0.1161,470.6
Field_01,1,8.79,0.0,7827.5,57.8,39.8,21.75,0.1154,432.9
Field_01,1,8.89,0.0,8160.9,52.3,38.5,25.21,0.1164,416.2
Field_01,1,8.99,0.0,8524.7,49.9,38.7,28.39,0.121,407.0
Field_01,1,9.09,0.0,8845.0,50.3,40.8,29.72,0.13,391.2
Field_01,1,9.19,0.0,9049.9,53.7,44.8,28.36,0.1427,365.6
Field_01,1,9.29,0.0,9105.7,60.9,50.2,25.0,0.1573,338.2
Field_01,1,9.39,0.0,9039.6,72.2,56.3,21.11,0.1719,317.5
Field_01,1,9.49,0.0,8930.5,86.6,62.0,17.77,0.1853,305.8
Field_01,1,9.6,0.0,8870.8,101.8,65.7,15.23,0.1971,299.8
Field_01,1,9.7,0.0,8924.7,114.8,66.2,13.28,0.2069,291.0
Field_01,1,9.8,0.0,9104.8,123.0,63.3,11.61,0.2145,271.1
Field_01,1,9.9,0.0,9378.7,124.4,58.0,10.07,0.2198,239.0
Field_01,1,10.0,0.0,9693.4,118.8,51.7,8.75,0.2226,203.6
Field_01,1,0.0,0.1,9712.6,112.6,48.0,8.27,0.238,234.2
Field_01,1,0.1,0.1,9972.1,99.8,42.9,8.35,0.2397,218.9
Field_01,1,0.2,0.1,10216.5,87.0,38.1,9.24,0.2392,224.6
Field_01,1,0.3,0.1,10454.4,76.6,33.1,10.93,0.237,251.1
Field_01,1,0.4,0.1,10695.9,70.1,27.9,13.12,0.2344,292.9
Field_01,1,0.51,0.1,10933.6,67.7,22.9,14.95,0.2328,336.6
Field_01,1,0.61,0.1,11133.0,68.8,18.8,15.46,0.2328,362.6
Field_01,1,0.71,0.1,11246.7,72.4,16.0,14.42,0.2335,357.9
Field_01,1,0.81,0.1,11243.2,76.9,14.5,12.59,0.2337,327.5
Field_01,1,0.91,0.1,11129.8,80.3,14.1,10.89,0.2321,288.9
Field_01,1,1.01,0.1,10946.8,81.6,15.0,9.86,0.2288,257.0
Field_01,1,1.11,0.1,10741.4,80.3,17.2,9.63,0.2244,238.8
Field_01,1,1.21,0.1,10541.0,77.9,20.9,10.18,0.2204,236.2
Field_01,1,1.31,0.1,10348.9,76.5,25.5,11.46,0.2186,250.7
Field_01,1,1.41,0.1,10162.1,77.9,30.2,13.39,0.2211,285.1
Field_01,1,1.52,0.1,9990.1,83.1,34.1,15.92,0.2285,340.0
Field_01,1,1.62,0.1,9856.7,91.5,36.8,18.91,0.2395,408.5
Field_01,1,1.72,0.1,9778.8,101.5,38.6,22.13,0.2508,473.3
Field_01,1,1.82,0.1,9741.0,111.0,40.2,25.1,0.2583,515.6
Field_01,1,1.92,0.1,9690.0,117.8,42.6,27.14,0.26,526.5
Field_01,1,2.02,0.1,9558.9,120.4,46.4,27.67,0.2568,507.1
Field_01,1,2.12,0.1,9305.8,118.2,51.9,26.61,0.252,463.2
Field_01,1,2.22,0.1,8938.3,111.6,59.1,24.41,0.2496,403.8
Field_01,1,2.32,0.1,8508.8,101.5,67.4,21.65,0.2517,338.3
Field_01,1,2.42,0.1,8086.3,89.2,75.4,18.79,0.2573,272.1
Field_01,1,2.53,0.1,7725.2,76.3,81.1,16.08,0.2629,209.6
Field_01,1,2.63,0.1,7449.7,64.7,82.3,13.74,0.2643,157.8
Field_01,1,2.73,0.1,7259.1,56.1,78.0,12.04,0.2586,123.2
Field_01,1,2.83,0.1,7148.5,51.0,68.6,11.21,0.2452,106.7
Field_01,1,2.93,0.1,7128.1,48.6,56.2,11.43,0.2256,103.9
Field_01,1,3.03,0.1,7220.5,46.6,44.0,12.82,0.2024,106.7
Field_01,1,3.13,0.1,7433.5,43.2,35.0,15.33,0.1782,105.2
Field_01,1,3.23,0.1,7725.8,38.0,31.4,18.61,0.1558,94.0
Field_01,1,3.33,0.1,8000.0,32.5,33.8,22.06,0.1374,79.1
Field_01,1,3.43,0.1,8141.3,29.0,40.7,25.18,0.1249,72.7
Field_01,1,3.54,0.1,8082.3,29.2,49.4,27.81,0.1193,85.7
Field_01,1,3.64,0.1,7850.1,33.1,56.3,29.76,0.1199,129.2
Field_01,1,3.74,0.1,7555.8,39.1,58.6,30.32,0.1245,208.2
Field_01,1,3.84,0.1,7327.8,45.2,55.4,28.67,0.1303,298.4
Field_01,1,3.94,0.1,7231.7,50.0,47.5,24.98,0.1346,349.7
Field_01,1,4.04,0.1,7232.0,53.2,37.6,20.69,0.1361,345.1
Field_01,1,4.14,0.1,7221.4,55.7,28.1,17.3,0.1342,318.4
Field_01,1,4.24,0.1,7101.2,58.7,20.9,15.52,0.1297,307.0
Field_01,1,4.34,0.1,6856.0,62.6,16.5,15.35,0.1241,327.9
Field_01,1,4.44,0.1,6576.9,66.9,14.7,16.47,0.1193,381.6
Field_01,1,4.55,0.1,6418.6,69.8,14.6,18.32,0.1175,451.3
Field_01,1,4.65,0.1,6517.9,69.7,15.8,20.08,0.1202,499.9
Field_01,1,4.75,0.1,6923.9,65.2,18.1,21.04,0.1277,489.8
Field_01,1,4.85,0.1,7575.4,56.1,21.7,20.99,0.1391,414.4
Field_01,1,4.95,0.1,8331.0,43.4,26.6,20.28,0.152,301.6
Field_01,1,5.05,0.1,9030.9,29.4,32.5,19.43,0.1633,187.2
Field_01,1,5.15,0.1,9554.1,16.5,39.3,18.9,0.1705,96.1
Field_01,1,5.25,0.1,9848.9,7.2,46.3,18.96,0.1727,38.3
Field_01,1,5.35,0.1,9930.9,5.0,53.0,19.79,0.1709,24.4
Field_01,1,5.45,0.1,9858.7,5.0,58.5,21.48,0.1673,22.0
Field_01,1,5.56,0.1,9703.3,8.5,62.3,23.96,0.1636,31.8
Field_01,1,5.66,0.1,9524.0,16.7,63.8,27.01,0.16,48.8
Field_01,1,5.76,0.1,9356.2,26.9,63.3,30.28,0.1562,55.8
Field_01,1,5.86,0.1,9213.2,37.9,61.0,33.5,0.153,57.1
Field_01,1,5.96,0.1,9100.2,48.4,57.6,36.53,0.1528,70.2
Field_01,1,6.06,0.1,9031.2,57.6,53.3,39.18,0.1589,109.6
Field_01,1,6.16,0.1,9032.2,65.1,48.4,41.0,0.1734,175.2
Field_01,1,6.26,0.1,9122.8,71.7,42.9,41.35,0.1955,249.8
Field_01,1,6.36,0.1,9285.5,78.3,37.4,39.94,0.221,311.4
Field_01,1,6.46,0.1,9451.2,85.5,33.1,37.26,0.2442,357.7
Field_01,1,6.57,0.1,9524.0,93.0,31.2,34.44,0.2598,414.6
Field_01,1,6.67,0.1,9438.0,99.5,32.7,32.5,0.2647,515.2
Field_01,1,6.77,0.1,9210.6,103.7,37.5,31.85,0.2582,667.8
Field_01,1,6.87,0.1,8949.9,104.8,44.4,32.17,0.2414,826.6
Field_01,1,6.97,0.1,8806.0,103.1,51.5,32.58,0.2175,894.0
Field_01,1,7.07,0.1,8892.5,99.4,56.8,32.11,0.1907,803.7
Field_01,1,7.17,0.1,9227.1,95.0,59.1,30.41,0.1665,611.0
Field_01,1,7.27,0.1,9726.0,91.3,58.1,28.04,0.15,429.1
